Episode,Wins,Losses,Ties
0,1,0,0
10000,5686,3884,430
20000,5891,3618,491
30000,5966,3550,484
40000,6002,3459,539
50000,6112,3416,472
60000,6126,3387,487
70000,6217,3279,504
80000,6163,3327,510
90000,6212,3293,495
100000,6132,3377,491
110000,6068,3398,534
120000,6216,3306,478
130000,6216,3284,500
140000,6252,3229,519
150000,6234,3277,489
160000,6260,3221,519
170000,6267,3216,517
180000,6301,3210,489
190000,6387,3120,493
200000,6289,3220,491
210000,6324,3215,461
220000,6370,3175,455
230000,6306,3211,483
240000,6389,3143,468
0,0,1,0
10000,6331,3231,438
20000,6461,3060,479
30000,6455,3056,489
40000,6539,2999,462
50000,6533,3015,452
60000,6496,3047,457
70000,6520,2983,497
80000,6439,3103,458
90000,6551,2981,468
100000,6542,3002,456
110000,6610,2942,448
120000,6550,2990,460
130000,6510,3056,434
140000,6603,2924,473
150000,6668,2875,457
160000,6668,2874,458
170000,6644,2859,497
180000,6580,2960,460
190000,6510,3013,477
200000,6667,2856,477
210000,6564,2979,457
220000,6530,3009,461
230000,6496,3063,441
240000,6562,2979,459
0,0,1,0
10000,6411,3161,428
20000,6710,2853,437
30000,6733,2865,402
40000,6651,2921,428
50000,6673,2920,407
60000,6665,2910,425
70000,6589,2965,446
80000,6537,2999,464
90000,6590,2955,455
100000,6591,2936,473
110000,6607,2897,496
120000,6690,2867,443
130000,6570,2997,433
140000,6676,2901,423
150000,6713,2863,424
160000,6709,2887,404
170000,6662,2915,423
180000,6628,2923,449
190000,6771,2827,402
200000,6719,2844,437
210000,6690,2875,435
220000,6674,2880,446
230000,6647,2930,423
240000,6621,2961,418
0,1,0,0
10000,6401,3158,441
20000,6652,2890,458
30000,6759,2834,407
40000,6726,2840,434
50000,6566,3010,424
60000,6675,2874,451
70000,6752,2853,395
80000,6727,2858,415
90000,6659,2896,445
100000,6705,2844,451
110000,6655,2887,458
120000,6633,2924,443
130000,6687,2884,429
140000,6751,2802,447
150000,6629,2910,461
160000,6666,2882,452
170000,6610,2916,474
180000,6724,2856,420
190000,6791,2766,443
200000,6732,2844,424
210000,6806,2785,409
220000,6800,2789,411
230000,6611,2960,429
240000,6523,3012,465
0,0,1,0
10000,6508,3100,392
20000,6717,2822,461
30000,6769,2860,371
40000,6599,2963,438
50000,6648,2901,451
60000,6629,2935,436
70000,6728,2826,446
80000,6701,2882,417
90000,6818,2794,388
100000,6643,2912,445
110000,6687,2881,432
120000,6575,2947,478
130000,6636,2904,460
140000,6521,3001,478
150000,6509,3002,489
160000,6491,3025,484
170000,6509,3039,452
180000,6559,2957,484
190000,6670,2934,396
200000,6644,2885,471
210000,6650,2934,416
220000,6608,2927,465
230000,6605,2970,425
240000,6580,2987,433
