Episode,Wins,Losses,Ties
10000,5697,3889,415
20000,5985,3507,508
30000,5967,3533,500
40000,6051,3459,490
50000,6116,3373,510
10000,12230,6792,978
20000,6074,3424,502
30000,6176,3363,461
40000,6218,3275,507
50000,6186,3359,454
10000,12473,6609,918
20000,6369,3151,480
30000,6305,3241,454
40000,6340,3195,465
50000,6357,3168,474
10000,12655,6422,923
20000,6333,3195,472
30000,6272,3243,485
40000,6352,3189,459
50000,6314,3198,487
10000,12689,6310,1001
20000,6455,3096,449
30000,6408,3104,488
40000,6376,3169,455
50000,6447,3101,451
10000,12678,6376,946
20000,6392,3130,478
30000,6477,3102,421
40000,6405,3157,438
50000,6399,3169,431
10000,6258,3314,429
20000,6393,3181,426
30000,6553,2989,458
40000,6585,2977,438
50000,6539,3027,433
10000,13039,6087,874
20000,6584,2953,463
30000,6480,3053,467
40000,6521,3039,440
50000,6521,3049,429
